,appid,meanPlayers2017,meanPlayers2018,meanPlayers2019,meanPlayers2020
824,504210,81,54,39,60
825,682130,61,106,144,213
826,247020,67,34,24,30
827,339340,57,51,53,108
828,416270,0,10,34,52
829,322920,34,20,11,11
830,287260,29,7,4,8
831,335360,0,0,0,0
832,46500,46,25,21,30
833,445880,0,0,0,0
834,384190,63,30,23,25
835,375950,43,31,21,32
836,221540,49,42,39,47
837,324510,40,127,126,116
838,385380,46,32,29,22
839,57900,43,34,31,34
840,467000,30,15,3,21
841,448500,1,2,0,0
842,441550,81,41,46,59
843,274900,49,22,13,11
844,423230,64,69,41,46
845,256290,69,44,29,32
846,296470,55,17,14,20
847,236150,45,31,20,17
848,343780,47,38,47,52
849,2100,66,47,46,55
850,213120,32,24,17,15
851,8600,40,26,19,21
852,299460,38,8,9,10
853,70600,44,36,34,53
854,417860,35,18,13,15
855,224480,61,30,38,27
856,216890,42,32,25,29
857,39200,43,40,40,56
858,216260,45,28,23,16
859,425220,59,33,20,17
860,292910,31,50,197,90
861,581620,111,57,20,14
862,220740,31,27,18,26
863,244730,5,2,2,2
864,215100,42,39,30,55
865,362680,68,41,42,42
866,328080,159,151,228,149
867,370360,58,34,26,24
868,12250,50,34,19,15
869,446020,59,80,56,38
870,314410,64,53,28,24
871,9340,41,35,33,44
872,237870,50,43,30,30
873,301320,46,55,61,78
874,340050,32,22,14,11
875,448080,45,15,15,37
876,323220,42,89,63,65
877,583010,62,69,77,91
878,2620,41,33,41,55
879,252410,63,21,14,12
880,231160,23,10,8,6
881,32360,46,36,32,49
882,486780,46,32,27,12
883,561600,47,23,11,10
884,314790,27,13,7,6
885,474050,2,1,0,0
886,362490,32,49,51,161
887,368340,119,236,209,140
888,107200,36,23,23,21
889,394760,31,20,16,11
890,254100,60,50,33,39
891,312520,65,35,40,54
892,460810,77,30,27,22
893,593030,35,40,40,46
894,555220,43,34,33,16
895,130,54,33,42,81
896,19930,41,32,16,14
897,512770,15,1,0,0
898,424030,18,35,117,186
899,504880,27,2,1,15
900,407330,56,28,18,30
901,21090,53,44,44,54
902,222440,42,38,45,63
903,225080,42,33,18,25
904,591370,34,69,78,51
905,570770,33,23,26,67
906,639170,150,27,10,5
907,323610,49,33,25,21
908,221260,39,23,22,31
909,12320,46,46,47,64
910,527290,40,23,19,19
911,657860,28,5,0,0
912,407190,27,20,13,12
913,319730,55,54,26,12
914,272230,23,15,24,57
915,385800,72,38,22,38
916,202200,42,65,37,39
917,300570,49,27,25,20
918,718650,23,14,29,37
919,378200,31,27,16,15
920,39160,35,34,31,33
921,227180,28,20,15,15
922,224540,26,8,1,1
923,336510,28,2,0,0
924,57640,22,14,15,26
925,618970,22,7,5,7
926,429280,11,10,0,1
927,345390,40,29,21,30
928,477980,24,4,4,4
929,45770,40,24,20,25
930,39000,21,15,7,7
931,405640,60,20,12,12
932,665180,48,34,30,46
933,494670,45,12,7,9
934,416450,33,26,21,25
935,303720,4,5,1,2
936,265610,49,34,17,17
937,354850,0,19,48,49
938,497180,40,37,31,32
939,95400,50,29,20,33
940,2800,18,11,10,13
941,735280,33,33,34,54
942,338170,25,16,10,11
943,314520,31,25,8,10
944,368590,280,9,1,1
945,356570,52,40,29,48
946,2760,41,36,28,31
947,357190,67,36,45,70
948,239250,38,37,24,27
949,323910,43,29,26,28
950,455130,43,34,36,59
951,501690,0,9,46,40
952,581630,35,23,16,15
953,559500,0,11,43,28
954,365300,29,18,7,8
955,475190,16,4,3,3
956,482770,29,7,1,0
957,418250,32,14,11,11
958,241260,44,29,37,57
959,24870,41,25,24,31
960,574620,11,12,9,0
961,513510,26,20,29,19
962,351710,42,49,35,28
963,72200,40,41,32,27
964,357780,22,6,3,3
965,382490,27,26,12,26
966,607880,41,18,10,10
967,8140,39,35,27,41
968,251110,17,13,12,13
969,444490,93,20,2,71
970,528510,13,7,1,27
971,485950,19,11,2,1
972,347560,11,9,1,61
973,506670,11,2,7,8
974,485830,4,1,5,0
975,465760,11,2,1,0
976,19680,31,23,16,17
977,7510,75,94,75,81
978,475220,22,4,1,0
979,222730,39,38,21,26
980,249590,28,9,4,3
981,511800,28,24,4,3
982,208520,35,28,28,29
983,552920,37,42,40,54
984,278890,28,25,11,14
985,344880,1,0,0,0
986,546200,4,7,1,1
987,447880,0,9,24,8
988,333300,46,38,31,35
989,614910,45,45,48,26
990,464850,34,15,10,5
991,113420,44,40,23,1
992,443940,44,10,24,14
993,639780,38,15,4,3
994,424370,55,112,172,6276
995,561340,19,1,0,0
996,681810,20,11,8,16
997,233290,39,39,43,39
998,314660,32,17,13,13
999,619520,32,13,23,36
1000,562010,71,65,49,61
1001,623550,3,5,0,0
